Car Names,Mileages,Ratings,Reviews,used/certified,Price
2020 Porsche Macan S,"30,640 mi.",3.7,(54 reviews),Used,"$67,995.00"
2019 Toyota 4Runner Limited,"15,742 mi.",4.9,"(3,116 reviews)",Toyota Certified,"$40,887.00"
2021 GMC Yukon Denali,"37,805 mi.",4.8,(992 reviews),Used,"$84,489.00"
2013 Lexus ES 350 Base,"13,407 mi.",2.8,(95 reviews),Used,"$14,899.00"
2020 Mazda Mazda6 Sport,"54,767 mi.",4.5,(15 reviews),Used,"$29,998.00"
2010 Lexus ES 350 Base,"35,332 mi.",4.6,(922 reviews),Used,"$9,799.00"
2019 Honda Pilot EX-L,"95,734 mi.",4.6,(670 reviews),Used,"$36,631.00"
2013 Mercedes-Benz S-Class S 550 4MATIC,"18,074 mi.",4.7,(660 reviews),Used,"$25,777.00"
2020 Mercedes-Benz G-Class G 550 4MATIC,"84,647 mi.",4.9,(312 reviews),Used,"$149,990.00"
2019 Mercedes-Benz C-Class C 300,"26,657 mi.",4.3,(327 reviews),Used,"$42,000.00"
2020 Mercedes-Benz CLA 250 Base,"16,761 mi.",3.7,(131 reviews),Mercedes-Benz Certified,"$38,995.00"
2016 Toyota Camry SE,Mileage,4.8,"(4,829 reviews)",Used,"$18,998.00"
2021 BMW X3 M AWD,"49,653 mi.",4.8,"(1,614 reviews)",Used,"$73,980.00"
2021 Mercedes-Benz AMG GLE 53 Base,"18,108 mi.",4.7,(155 reviews),Used,"$88,998.00"
2020 Honda Accord Sport 1.5T,"6,356 mi.",4.0,(0 reviews),Used,"$29,469.00"
2019 INFINITI QX60 Luxe,"41,218 mi.",4.7,(445 reviews),Used,"$30,446.00"
2012 Ford Expedition EL King Ranch,"48,770 mi.",4.3,(0 reviews),Used,"$15,999.00"
2017 Cadillac XT5 Luxury,"148,738 mi.",4.5,"(1,221 reviews)",Used,"$24,497.00"
2020 Acura TLX V6 w/Technology Package,"85,658 mi.",4.4,(273 reviews),Used,"$33,634.00"
2020 Jeep Grand Cherokee Limited,"34,181 mi.",4.9,"(2,421 reviews)",Used,"$46,529.00"
2020 RAM 1500 Limited,"15,277 mi.",4.4,(716 reviews),RAM Certified,"$53,791.00"
2021 Porsche Macan Base,"23,151 mi.",4.8,(547 reviews),Used,"$59,995.00"
2019 Mercedes-Benz GLC 300 Base 4MATIC,"16,357 mi.",4.8,"(1,087 reviews)",Used,"$34,885.00"
2020 Lincoln Aviator Reserve AWD,"18,337 mi.",2.9,(158 reviews),Used,"$59,962.00"
2019 Chevrolet Traverse LS,"12,707 mi.",4.8,(121 reviews),Used,"$29,881.00"
2019 BMW M550 i Xdrive,"45,498 mi.",4.8,(42 reviews),Used,"$43,948.00"
2021 Porsche Macan GTS,"38,336 mi.",3.7,(479 reviews),Used,"$86,996.00"
2020 Tesla Model Y Long Range,"7,215 mi.",4.4,"(1,783 reviews)",Used,"$66,900.00"
2020 Lexus IS 350 Base,"25,801 mi.",4.5,(54 reviews),Used,"$27,999.00"
2016 Acura ILX 2.4L,"20,577 mi.",4.8,(921 reviews),Used,"$17,000.00"
2017 Ford Escape Titanium,"67,492 mi.",3.2,(739 reviews),Used,"$22,977.00"
2017 Lexus GX 460 Base,"57,282 mi.",4.7,(720 reviews),Used,"$37,672.00"
2019 Mazda CX-5 Touring,"81,060 mi.",4.1,(11 reviews),Used,"$29,998.00"
2019 Mercedes-Benz C-Class C 300 4MATIC,"19,382 mi.",4.5,"(1,685 reviews)",Used,"$35,992.00"
2017 Ford Explorer XLT,"13,738 mi.",4.6,(8 reviews),Used,"$26,998.00"
2019 Mercedes-Benz AMG GLC 43 Base 4MATIC,"41,961 mi.",4.3,(660 reviews),Used,"$51,477.00"
2018 Mercedes-Benz AMG E 63 S 4MATIC,"14,210 mi.",4.0,"(1,038 reviews)",Mercedes-Benz Certified,"$84,995.00"
2020 Lexus RX 450hL Base,"12,195 mi.",4.9,(97 reviews),Used,"$56,500.00"
2020 Jeep Grand Cherokee Limited,"11,559 mi.",2.9,(183 reviews),Used,"$43,645.00"
2016 Chevrolet Corvette Stingray Z51,"44,502 mi.",4.8,(511 reviews),Used,"$58,500.00"
2017 Mercedes-Benz E-Class E 300 4MATIC,"14,163 mi.",4.7,(42 reviews),Used,"$31,862.00"
2019 Lexus RX 350 350,"13,990 mi.",4.3,"(1,558 reviews)",Used,"$44,994.00"
2022 Toyota Highlander Platinum,"11,711 mi.",4.4,(71 reviews),Toyota Certified,"$51,988.00"
2016 Toyota Sienna Limited Premium,"27,070 mi.",4.6,(160 reviews),Used,"$38,000.00"
2019 Land Rover Range Rover Velar P250 S,"20,054 mi.",4.6,(310 reviews),Used,"$49,620.00"
2020 Jaguar E-PACE SE,"16,133 mi.",4.5,(241 reviews),Used,"$47,994.00"
2020 Subaru Forester Premium,"21,699 mi.",4.3,(555 reviews),Subaru Certified,"$32,252.00"
2018 Jeep Wrangler Unlimited Sport,"43,098 mi.",4.4,"(1,070 reviews)",Used,Not Priced
2021 Acura ILX Premium Package,"58,324 mi.",4.9,"(1,383 reviews)",Used,"$31,000.00"
2020 Jaguar E-PACE SE,"13,054 mi.",3.2,"(1,760 reviews)",Used,"$46,494.00"
2018 Ford Escape SE,Mileage,4.7,(373 reviews),Ford Certified,"$25,000.00"
2012 Lexus ES 350 Base,"24,991 mi.",4.6,(239 reviews),Used,"$18,992.00"
2021 Toyota Tundra SR5,"86,690 mi.",4.7,(61 reviews),Used,"$46,326.00"
2020 Jeep Grand Cherokee Overland,"16,258 mi.",4.2,"(9,077 reviews)",Used,"$39,590.00"
2019 Honda CR-V EX-L,"38,679 mi.",4.5,(86 reviews),Used,"$33,125.00"
2016 BMW X5 xDrive50i,"22,942 mi.",3.7,(61 reviews),Used,"$26,600.00"
2021 Acura RDX A-Spec,"96,200 mi.",2.7,(20 reviews),Acura Certified,"$44,684.00"
2016 Toyota Prius Two,"15,490 mi.",4.8,(450 reviews),Used,"$21,999.00"
2019 Honda CR-V EX-L,"82,012 mi.",4.7,"(1,913 reviews)",Used,"$31,499.00"
2020 Toyota Camry SE,"21,868 mi.",4.6,(573 reviews),Used,"$28,998.00"
2018 Jeep Grand Cherokee Limited,"17,262 mi.",4.7,(406 reviews),Used,"$35,368.00"
2016 Mercedes-Benz C-Class C 300,"19,330 mi.",4.5,(571 reviews),Used,"$25,745.00"
2020 Volvo V60 T5 Momentum,"54,442 mi.",4.5,(363 reviews),Used,"$31,988.00"
2020 RAM 1500 Big Horn,"32,305 mi.",4.2,(380 reviews),Used,"$46,998.00"
2021 Mazda CX-5 Grand Touring,"22,118 mi.",4.5,(169 reviews),Used,"$29,034.00"
2012 Mercedes-Benz S-Class S 550 4MATIC,"45,935 mi.",4.6,(163 reviews),Used,"$25,695.00"
2021 GMC Yukon Denali,"59,725 mi.",3.8,(126 reviews),Used,"$75,900.00"
2003 Chevrolet Express 3500,"46,488 mi.",4.8,"(1,686 reviews)",Used,"$18,993.00"
2017 INFINITI Q70L 3.7,"19,305 mi.",4.9,(189 reviews),Used,"$34,606.00"
2021 Toyota RAV4 XLE,"30,152 mi.",4.2,(762 reviews),Toyota Certified,"$34,845.00"
2021 Honda Passport EX-L,"4,563 mi.",1.6,(28 reviews),Used,"$38,666.00"
2019 BMW X5 xDrive40i,"17,862 mi.",4.6,(143 reviews),Used,"$42,777.00"
