Car Names,Mileages,Ratings,Reviews,used/certified,Price
2020 Ford Explorer XLT,"23,047 mi.",4.6,"(2,214 reviews)",Used,"$34,992.00"
2018 Audi Q7 3.0T Premium Plus,"40,498 mi.",4.9,(973 reviews),Used,"$34,378.00"
2019 BMW 330 i xDrive,"65,737 mi.",4.7,"(3,229 reviews)",BMW Certified,"$41,977.00"
2020 Jeep Grand Cherokee Limited,"10,890 mi.",3.0,(502 reviews),Jeep Certified,"$35,200.00"
2019 BMW X5 xDrive40i,"37,540 mi.",4.3,(22 reviews),BMW Certified,"$55,995.00"
2019 BMW X4 xDrive30i,"19,067 mi.",3.9,"(1,707 reviews)",Used,"$48,414.00"
2021 Kia Sportage LX,"20,239 mi.",4.4,(57 reviews),Used,"$25,994.00"
2021 Toyota 4Runner SR5 Premium,"14,296 mi.",4.5,"(2,665 reviews)",Toyota Certified,"$47,400.00"
2019 Jeep Cherokee Limited,"20,989 mi.",5.0,"(3,017 reviews)",Jeep Certified,"$26,991.00"
2016 Audi A6 3.0T TDI Prestige,"22,130 mi.",4.7,(1 review),Used,"$32,750.00"
2018 Ford Explorer XLT,"60,000 mi.",4.8,"(6,038 reviews)",Used,"$33,489.00"
2021 Toyota Highlander LE,"46,252 mi.",4.7,(534 reviews),Used,"$40,999.00"
2019 BMW X3 sDrive30i,Mileage,3.5,(11 reviews),Used,"$39,998.00"
2018 Mazda CX-5 Grand Touring,"14,476 mi.",4.7,(474 reviews),Used,"$28,500.00"
2019 Volvo XC60 T5 Inscription,"46,390 mi.",4.8,(872 reviews),Used,"$39,833.00"
2018 Hyundai Sonata Limited,"23,486 mi.",4.9,"(21,777 reviews)",Used,"$20,999.00"
2019 Volvo XC60 T5 Inscription,"55,585 mi.",4.8,(872 reviews),Used,"$40,359.00"
2020 Subaru Ascent Limited 7-Passenger,"21,959 mi.",4.7,"(4,279 reviews)",Used,"$38,882.00"
2020 Ford Escape SEL,"25,782 mi.",4.6,(467 reviews),Used,"$30,595.00"
2019 Jeep Grand Cherokee Limited,"19,227 mi.",4.3,(11 reviews),Used,"$39,500.00"
2019 Audi Q7 55 Premium Plus,"73,660 mi.",4.5,(511 reviews),Used,"$47,990.00"
2021 Mercedes-Benz C-Class C 300 4MATIC,"47,765 mi.",4.7,(263 reviews),Mercedes-Benz Certified,"$38,991.00"
2019 Mazda CX-5 Grand Touring,"12,440 mi.",4.5,(965 reviews),Used,"$29,695.00"
2019 INFINITI QX50 ESSENTIAL,"17,122 mi.",4.5,(24 reviews),INFINITI Certified,"$38,990.00"
2021 Toyota 4Runner TRD Pro,"23,444 mi.",2.8,(12 reviews),Used,"$65,998.00"
2016 Toyota Camry SE,"22,922 mi.",5.0,(1 review),Used,"$18,998.00"
2019 Volvo S60 T5 Momentum,"94,469 mi.",4.5,(324 reviews),Used,"$32,210.00"
2021 Jeep Grand Cherokee Limited,"23,380 mi.",4.6,(66 reviews),Used,"$45,497.00"
2020 Land Rover Discovery Sport S,"14,059 mi.",4.5,(164 reviews),Used,"$41,499.00"
2021 GMC Sierra 2500 Denali,"17,882 mi.",4.9,"(12,923 reviews)",Used,"$83,500.00"
2019 Ford Edge Titanium,"13,033 mi.",4.6,(467 reviews),Used,"$33,495.00"
2018 Toyota RAV4 LE,"13,175 mi.",4.5,"(1,625 reviews)",Used,"$22,995.00"
2017 Honda Accord Sport,"31,850 mi.",4.6,(517 reviews),Used,"$23,982.00"
2020 Lexus GX 460 Base,"40,620 mi.",4.8,"(1,710 reviews)",Used,"$48,800.00"
2021 Ford F-150 Lariat,"30,421 mi.",4.5,(221 reviews),Used,"$61,996.00"
2020 Toyota RAV4 LE,"18,240 mi.",4.5,(506 reviews),Used,"$32,995.00"
2019 Acura MDX 3.5L,"10,465 mi.",4.8,"(2,794 reviews)",Used,"$37,300.00"
2018 Toyota RAV4 XLE,"16,000 mi.",4.9,"(2,470 reviews)",Used,"$30,959.00"
2020 Nissan Pathfinder SV,"16,632 mi.",4.8,"(1,110 reviews)",Used,"$31,977.00"
2021 Kia Telluride SX,"37,754 mi.",4.5,"(1,428 reviews)",Used,"$56,991.00"
2020 Honda Accord Sport 1.5T,"12,955 mi.",4.2,(803 reviews),Honda Certified,Not Priced
2020 Honda Civic EX,"19,704 mi.",4.7,"(2,039 reviews)",Honda Certified,"$27,995.00"
2015 BMW X3 xDrive28i,"24,326 mi.",4.1,(39 reviews),Used,"$18,995.00"
2021 Honda Pilot Special Edition,"28,490 mi.",4.6,"(2,426 reviews)",Used,"$42,103.00"
2019 Audi Q8 3.0T Premium,"16,832 mi.",4.8,"(1,556 reviews)",Used,"$58,995.00"
2021 Ford Transit-350 XLT,"51,598 mi.",3.2,(300 reviews),Used,"$79,995.00"
2016 Toyota Avalon XLE,"12,755 mi.",4.4,"(1,972 reviews)",Used,"$22,995.00"
2020 RAM 1500 Laramie,"62,820 mi.",4.5,(406 reviews),Used,"$50,991.00"
2021 Honda Accord Sport 2.0T,"33,791 mi.",4.2,(25 reviews),Used,"$34,000.00"
2019 Jaguar F-PACE S,"18,712 mi.",4.5,(383 reviews),Used,"$45,499.00"
2021 Mazda CX-5 Grand Touring,"46,832 mi.",4.3,(699 reviews),Used,"$28,375.00"
2020 Ford F-150 Lariat,"43,176 mi.",4.6,(159 reviews),Used,"$44,713.00"
2019 Mercedes-Benz A-Class A 220 4MATIC,"49,246 mi.",4.3,(109 reviews),Used,"$31,995.00"
2016 Jeep Grand Cherokee Laredo,"49,035 mi.",4.5,(210 reviews),Used,"$22,389.00"
2020 Land Rover Range Rover Velar S,"84,050 mi.",4.2,(801 reviews),Used,"$45,995.00"
2019 Honda CR-V EX-L,"34,625 mi.",4.5,"(2,421 reviews)",Honda Certified,"$31,476.00"
2020 Mercedes-Benz GLE 350 Base 4MATIC,"35,315 mi.",4.5,(456 reviews),Mercedes-Benz Certified,"$49,231.00"
2018 Volvo XC60 T6 Momentum,"46,009 mi.",4.7,"(1,680 reviews)",Volvo Certified,"$42,962.00"
2017 Subaru Outback 2.5i Limited,Mileage,4.7,(44 reviews),Used,"$24,397.00"
2019 Dodge Journey SE,"88,511 mi.",4.9,(67 reviews),Used,"$8,000.00"
2020 Acura MDX 3.5L,"19,592 mi.",4.0,(431 reviews),Used,"$39,899.00"
2020 Buick Enclave Essence,"23,640 mi.",4.8,(985 reviews),Used,"$31,999.00"
2019 Toyota RAV4 LE,"46,226 mi.",4.8,(574 reviews),Toyota Certified,"$32,291.00"
2019 Genesis G90 5.0 Ultimate,"20,551 mi.",1.6,(20 reviews),Used,"$39,995.00"
2021 BMW X7 xDrive40i,"18,168 mi.",4.8,(860 reviews),Used,"$72,000.00"
2019 Mercedes-Benz GLA 250 Base,"34,799 mi.",4.7,"(1,648 reviews)",Used,"$32,995.00"
2020 Mazda CX-5 Grand Touring,"11,379 mi.",4.4,(297 reviews),Used,"$33,798.00"
2019 Mercedes-Benz GLC 300 Base 4MATIC,"36,374 mi.",4.5,(128 reviews),Used,"$38,995.00"
2020 Honda CR-V Touring,"26,036 mi.",4.6,"(4,515 reviews)",Used,"$34,289.00"
2022 Toyota Tacoma SR,"31,828 mi.",4.8,(206 reviews),Toyota Certified,"$45,900.00"
2019 Subaru Outback 2.5i Limited,198 mi.,4.5,(259 reviews),Used,"$32,998.00"
2015 Acura TLX V6,"17,279 mi.",4.6,(550 reviews),Used,"$15,801.00"
2017 Lexus RX 450h Base,"157,433 mi.",4.3,(504 reviews),Used,"$42,990.00"
2019 BMW X5 xDrive40i,"46,712 mi.",4.4,(437 reviews),BMW Certified,"$47,998.00"
2020 Acura TLX Technology,"47,840 mi.",4.6,"(1,412 reviews)",Used,"$32,957.00"
2017 BMW X3 xDrive28i,"15,843 mi.",3.7,(3 reviews),Used,"$24,950.00"
2020 Mercedes-Benz GLE 350 Base 4MATIC,"45,484 mi.",4.5,(456 reviews),Mercedes-Benz Certified,"$56,184.00"
2020 Mercedes-Benz C-Class C 300,"18,995 mi.",4.8,"(1,107 reviews)",Mercedes-Benz Certified,"$51,665.00"
2019 BMW X5 xDrive40i,"15,455 mi.",4.9,"(1,114 reviews)",Used,"$61,999.00"
2019 Audi A7 3.0T Prestige,"23,989 mi.",4.5,"(1,353 reviews)",Used,"$63,992.00"
2019 Ford F-150 XLT,"18,969 mi.",4.4,(569 reviews),Used,"$39,713.00"
2019 Honda CR-V EX-L,"47,227 mi.",4.6,"(3,172 reviews)",Used,"$30,995.00"
2021 Toyota Corolla LE,"13,737 mi.",4.8,"(3,459 reviews)",Used,"$26,530.00"
2019 BMW X3 xDrive30i,"16,339 mi.",4.3,(283 reviews),Used,"$37,492.00"
2019 BMW 540 i,"37,486 mi.",4.7,(848 reviews),Used,"$45,481.00"
2017 BMW X3 xDrive28i,"26,983 mi.",4.6,(415 reviews),Used,"$24,489.00"
2019 Subaru Crosstrek 2.0i Premium,"67,935 mi.",4.7,"(1,997 reviews)",Used,"$27,988.00"
2016 Dodge Journey SE,"12,457 mi.",3.9,(120 reviews),Used,"$16,499.00"
2018 Ford Explorer Limited,"73,281 mi.",3.5,(261 reviews),Used,"$27,700.00"
2018 Volkswagen Tiguan 2.0T SE,"47,237 mi.",4.0,(2 reviews),Used,"$20,388.00"
2021 Jeep Wrangler Unlimited Sahara,"95,272 mi.",2.9,(22 reviews),Used,"$50,998.00"
2019 Audi Q7 45 Premium Plus,"12,286 mi.",4.5,"(1,255 reviews)",Used,"$45,494.00"
2019 INFINITI QX60 Luxe,"19,924 mi.",4.5,(8 reviews),Used,"$35,998.00"
2022 Kia Telluride SX,"46,022 mi.",4.8,(718 reviews),Used,"$61,095.00"
2019 BMW 540 i,"2,637 mi.",3.9,(60 reviews),BMW Certified,"$51,988.00"
2020 Land Rover Defender 110 HSE,"23,322 mi.",4.5,"(1,255 reviews)",Used,"$84,394.00"
2019 Volkswagen Atlas 3.6L SEL Premium,"15,058 mi.",4.5,(956 reviews),Used,"$39,962.00"
2020 Honda CR-V EX,"42,316 mi.",3.8,(54 reviews),Used,"$35,992.00"
2015 Lexus RX 450h Base,"19,198 mi.",4.6,"(1,175 reviews)",Used,"$31,998.00"
2020 Lexus RX 350 Base,"46,188 mi.",4.8,"(1,928 reviews)",Used,"$52,937.00"
2019 Lexus ES 350 F Sport,"16,720 mi.",4.6,"(1,609 reviews)",Used,"$39,495.00"
2021 BMW X1 sDrive28i,"19,472 mi.",4.6,"(3,551 reviews)",Used,"$35,881.00"
2021 Nissan Rogue SV,"15,713 mi.",4.7,(163 reviews),Nissan Certified,"$31,999.00"
2021 Toyota RAV4 LE,Mileage,4.6,(850 reviews),Used,"$32,811.00"
2018 Toyota Tundra 1794,"13,907 mi.",4.7,(758 reviews),Used,"$46,991.00"
2019 Buick Encore Preferred,"47,673 mi.",4.7,(337 reviews),Used,"$24,500.00"
2021 Acura RDX A-Spec,"13,876 mi.",4.7,"(1,358 reviews)",Acura Certified,"$45,567.00"
2019 Lincoln MKC Reserve,"23,333 mi.",4.7,"(2,701 reviews)",Used,"$31,595.00"
2019 Ford Escape SEL,"46,500 mi.",4.8,"(2,398 reviews)",Used,"$21,723.00"
2019 BMW X3 xDrive30i,"83,787 mi.",4.7,"(1,712 reviews)",Used,"$39,000.00"
2018 Alfa Romeo Stelvio Base,"21,619 mi.",4.9,(904 reviews),Used,"$27,499.00"
2018 Maserati Ghibli S Q4,"47,764 mi.",4.7,(170 reviews),Used,"$57,990.00"
2021 INFINITI QX50 SENSORY,"25,593 mi.",4.7,"(1,661 reviews)",INFINITI Certified,"$46,000.00"
2020 Acura TLX FWD,"19,609 mi.",4.7,"(2,727 reviews)",Acura Certified,"$31,488.00"
2019 INFINITI QX60 Luxe,"21,194 mi.",4.9,(818 reviews),Used,"$38,244.00"
2020 Honda CR-V EX,"24,701 mi.",4.9,"(7,396 reviews)",Used,"$33,541.00"
2021 RAM 1500 Laramie,"20,616 mi.",4.3,"(1,369 reviews)",RAM Certified,"$48,573.00"
2021 Honda Passport EX-L,"15,728 mi.",4.8,(761 reviews),Used,"$39,795.00"
2019 Chevrolet Trax LS,"19,753 mi.",4.8,"(1,636 reviews)",Used,"$19,750.00"
2019 Lexus GX 460 Base,"41,339 mi.",4.7,"(2,362 reviews)",Used,"$46,788.00"
2020 Mazda CX-5 Grand Touring,"29,680 mi.",4.6,(26 reviews),Used,"$34,990.00"
2020 Toyota RAV4 LE,"16,823 mi.",1.8,(12 reviews),Used,"$31,998.00"
2019 Honda CR-V EX,"13,775 mi.",4.8,"(3,232 reviews)",Honda Certified,"$30,795.00"
2021 Tesla Model Y Long Range,"17,730 mi.",4.7,"(1,007 reviews)",Used,"$68,904.00"
2019 INFINITI QX80 Luxe,"15,189 mi.",4.3,"(1,341 reviews)",Used,"$48,880.00"
2021 Toyota RAV4 LE,"36,755 mi.",4.3,(504 reviews),Used,"$31,590.00"
2019 Toyota Tundra SR5,"16,880 mi.",2.3,(16 reviews),Used,"$40,998.00"
2020 Lincoln Aviator Reserve RWD,"16,915 mi.",4.9,"(12,923 reviews)",Used,"$53,000.00"
2017 Kia Forte LX,"23,469 mi.",4.7,"(1,015 reviews)",Used,"$17,995.00"
2020 Mercedes-Benz S-Class S 560 4MATIC,"39,165 mi.",4.7,(165 reviews),Mercedes-Benz Certified,"$95,998.00"
2020 Acura MDX 3.5L,"6,040 mi.",4.6,(273 reviews),Used,"$41,790.00"
2019 Hyundai Elantra Value Edition,"11,961 mi.",4.8,"(1,112 reviews)",Used,"$19,987.00"
2019 Tesla Model 3 Standard Range Plus,"49,043 mi.",4.6,(327 reviews),Used,"$45,995.00"
2021 Ford F-150 Lariat,"24,333 mi.",4.8,(152 reviews),Used,"$55,280.00"
2019 Ford Mustang GT Premium,"18,255 mi.",4.6,(381 reviews),Used,"$40,000.00"
2022 Honda Pilot Special Edition,"25,391 mi.",4.5,(711 reviews),Used,"$44,585.00"
2019 Chevrolet Blazer Premier,"3,489 mi.",4.7,(746 reviews),Chevrolet Certified,"$39,990.00"
2018 Mercedes-Benz GLC 300 Base 4MATIC,"40,444 mi.",4.4,"(3,022 reviews)",Used,"$37,995.00"
2018 Jeep Grand Cherokee Limited,"16,362 mi.",4.4,(227 reviews),Used,"$28,990.00"
2020 BMW X3 xDrive30i,"45,853 mi.",4.6,"(1,629 reviews)",Used,"$41,993.00"
2021 Jeep Grand Cherokee Limited,"36,987 mi.",4.7,"(2,701 reviews)",Used,"$39,995.00"
2019 BMW 330 i xDrive,"22,651 mi.",4.7,(848 reviews),Used,"$40,981.00"
2020 GMC Acadia Denali,"17,222 mi.",4.8,"(1,113 reviews)",Used,"$43,687.00"
2019 Toyota 4Runner TRD Pro,"19,986 mi.",4.5,"(2,457 reviews)",Used,"$37,998.00"
2019 Buick Encore Preferred,"48,169 mi.",4.8,"(1,636 reviews)",Used,"$21,000.00"
2019 BMW X4 xDrive30i,"49,460 mi.",3.2,(22 reviews),Used,"$45,990.00"
2017 Cadillac XT5 Luxury,"35,932 mi.",4.7,"(1,456 reviews)",Used,"$27,901.00"
2020 BMW 330 i,"58,614 mi.",4.9,"(2,705 reviews)",BMW Certified,"$39,813.00"
2019 BMW X1 sDrive28i,"21,861 mi.",4.6,(757 reviews),Used,"$31,429.00"
2019 Land Rover Range Rover Sport Supercharged Dynamic,"36,725 mi.",4.6,(207 reviews),Used,"$89,990.00"
2021 Honda Pilot Special Edition,"18,656 mi.",3.8,(511 reviews),Used,"$42,643.00"
2019 Ford Edge Titanium,Mileage,4.9,"(2,266 reviews)",Ford Certified,"$31,386.00"
2021 Jeep Grand Cherokee Laredo,"32,693 mi.",4.2,(126 reviews),Used,"$42,496.00"
2020 Ford Edge Titanium,"15,808 mi.",4.5,(66 reviews),Used,"$39,987.00"
2019 Volkswagen Tiguan 2.0T SE,"6,234 mi.",4.9,"(2,593 reviews)",Volkswagen Certified,"$27,475.00"
2019 Honda CR-V EX,"14,395 mi.",4.2,(420 reviews),Used,"$28,200.00"
2019 BMW X3 xDrive30i,"43,656 mi.",4.9,"(2,658 reviews)",Used,"$38,000.00"
2020 Toyota 4Runner SR5 4WD,"39,382 mi.",3.9,(182 reviews),Used,"$40,917.00"
2022 Toyota Corolla LE,"40,314 mi.",4.8,(523 reviews),Used,"$28,500.00"
2019 Honda CR-V EX-L,"10,071 mi.",4.6,"(4,515 reviews)",Used,"$31,801.00"
2021 Mercedes-Benz C-Class C 300 4MATIC,"23,117 mi.",4.6,(587 reviews),Used,"$47,881.00"
2017 GMC Acadia SLT,"11,245 mi.",4.7,"(5,562 reviews)",Used,"$28,687.00"
2019 Mercedes-Benz C-Class C 300,"60,333 mi.",2.5,(55 reviews),Mercedes-Benz Certified,"$32,552.00"
2020 Toyota RAV4 XLE,"35,293 mi.",4.8,"(2,387 reviews)",Toyota Certified,"$34,995.00"
2017 Audi A4 allroad 2.0T Premium,"33,006 mi.",4.8,"(1,609 reviews)",Used,"$28,000.00"
2014 BMW X5 xDrive35i,"63,763 mi.",4.4,(70 reviews),Used,"$24,500.00"
2020 Subaru Ascent Limited 7-Passenger,"64,200 mi.",2.6,(75 reviews),Used,"$37,877.00"
2020 Ford F-150 Lariat,"23,048 mi.",4.7,"(1,575 reviews)",Used,"$47,491.00"
2016 BMW X5 xDrive35i,"16,963 mi.",3.6,(105 reviews),Used,"$32,500.00"
2018 Jeep Grand Cherokee Limited,"49,097 mi.",4.7,(871 reviews),Used,"$30,199.00"
2021 Toyota Highlander XLE,"84,813 mi.",4.1,(434 reviews),Used,"$44,995.00"
2018 Jeep Grand Cherokee Limited,"21,137 mi.",4.7,"(1,737 reviews)",Used,"$33,997.00"
2020 Honda Pilot EX-L,"37,070 mi.",4.8,"(1,045 reviews)",Used,"$38,988.00"
2021 Mercedes-Benz C-Class C 300 4MATIC,"30,528 mi.",4.6,(587 reviews),Used,"$43,881.00"
2021 Ford F-150 Lariat,"10,758 mi.",4.8,(711 reviews),Used,"$61,962.00"
2021 GMC Sierra 1500 Denali,"14,532 mi.",4.7,(760 reviews),Used,"$64,500.00"
2016 INFINITI Q50 3.0T Red Sport 400,"22,691 mi.",5.0,(1 review),Used,"$34,998.00"
2020 Honda Pilot EX-L,"35,956 mi.",4.8,"(1,558 reviews)",Used,"$38,253.00"
2020 Jeep Grand Cherokee Limited,"24,014 mi.",4.8,(383 reviews),Used,"$40,246.00"
2019 BMW 330 i xDrive,"20,363 mi.",4.7,"(2,266 reviews)",Used,"$36,990.00"
2015 Ford Mustang V6,"22,201 mi.",4.0,(20 reviews),Used,"$19,995.00"
2019 Toyota Corolla LE,"85,533 mi.",5.0,(5 reviews),Used,"$20,699.00"
2019 Mercedes-Benz GLC 300 Base 4MATIC,"42,650 mi.",3.8,(77 reviews),Used,"$28,998.00"
2021 BMW X3 sDrive30i,"55,151 mi.",4.5,(956 reviews),BMW Certified,"$43,762.00"
2020 Nissan Rogue S,"23,158 mi.",4.7,(80 reviews),Used,"$24,923.00"
2020 Volvo S60 T6 Momentum,"39,911 mi.",4.3,(131 reviews),Volvo Certified,"$34,997.00"
2019 Volvo XC90 T6 R-Design,"29,305 mi.",3.4,(127 reviews),Used,"$46,981.00"
2019 Nissan Rogue SL,"32,317 mi.",4.3,(819 reviews),Nissan Certified,"$27,902.00"
2018 Volvo XC60 T5 Momentum,"20,371 mi.",4.7,"(1,680 reviews)",Volvo Certified,"$37,962.00"
2016 Mercedes-Benz CLA-Class CLA 250 4MATIC,"33,000 mi.",3.9,(56 reviews),Used,"$19,900.00"
2021 Mercedes-Benz GLE 350 Base,"62,000 mi.",4.9,(130 reviews),Used,"$68,900.00"
2021 Tesla Model 3 Standard Range Plus,"11,624 mi.",4.7,(124 reviews),Used,"$54,042.00"
2019 Lexus RX 350 350,"19,635 mi.",4.8,(969 reviews),Used,"$45,990.00"
2019 BMW 330 i,"20,811 mi.",4.5,(97 reviews),Used,"$39,750.00"
2021 Tesla Model Y Long Range,"10,198 mi.",4.6,(800 reviews),Used,"$70,247.00"
2014 Jeep Grand Cherokee Limited,Mileage,3.7,(170 reviews),Used,"$18,472.00"
2019 GMC Sierra 1500 Denali,"123,020 mi.",4.8,(711 reviews),Used,"$50,962.00"
2009 Mercedes-Benz SL-Class SL550 Roadster,"41,726 mi.",4.4,(495 reviews),Used,"$31,489.00"
2021 Toyota RAV4 LE,"47,689 mi.",4.6,(775 reviews),Toyota Certified,"$34,891.00"
2019 INFINITI QX80 Luxe,"18,756 mi.",4.1,(119 reviews),Used,"$41,990.00"
2020 Honda Accord LX 1.5T,"49,921 mi.",4.5,"(2,758 reviews)",Honda Certified,"$25,900.00"
2017 Toyota Camry SE,"13,212 mi.",4.8,(429 reviews),Toyota Certified,"$22,990.00"
2020 BMW X3 xDrive30i,"32,725 mi.",4.8,(711 reviews),BMW Certified,"$39,880.00"
2015 Chevrolet Suburban 1500 LT,"39,805 mi.",4.5,(169 reviews),Used,"$33,895.00"
2018 Audi Q5 2.0T Tech Premium,"79,436 mi.",4.8,(711 reviews),Used,"$32,880.00"
2015 Toyota 4Runner Limited,"43,412 mi.",4.8,"(1,710 reviews)",Used,"$28,500.00"
2019 BMW 330 i,"139,576 mi.",4.5,(348 reviews),BMW Certified,"$41,995.00"
2019 BMW 330 i,"20,238 mi.",4.5,(348 reviews),BMW Certified,"$42,995.00"
2019 Toyota Sienna SE,"22,167 mi.",4.5,(332 reviews),Used,"$33,899.00"
2019 Volvo XC60 T5 Momentum,"72,680 mi.",4.7,(359 reviews),Volvo Certified,"$38,395.00"
2019 Mercedes-Benz GLC 300 Base 4MATIC,"35,306 mi.",4.7,(263 reviews),Used,"$37,991.00"
2019 Ford Flex Limited,"38,790 mi.",4.2,(68 reviews),Used,"$32,000.00"
2021 Kia Telluride EX,"16,715 mi.",4.9,"(1,228 reviews)",Used,"$49,000.00"
2019 BMW X4 xDrive30i,"13,179 mi.",4.5,(45 reviews),Used,"$42,995.00"
2018 Mercedes-Benz AMG GLE 43 Coupe 4MATIC,"46,113 mi.",4.4,"(3,076 reviews)",Used,"$58,998.00"
2019 BMW X5 xDrive40i,"32,200 mi.",4.9,(692 reviews),Used,"$52,250.00"
2020 Honda Civic LX,"40,996 mi.",4.6,"(1,091 reviews)",Used,"$24,432.00"
2019 Honda Pilot EX-L,"19,407 mi.",4.4,(846 reviews),Used,"$35,995.00"
2018 Land Rover Discovery HSE LUXURY,"19,333 mi.",4.7,(766 reviews),Used,"$48,998.00"
2017 Dodge Durango GT,"47,020 mi.",3.8,(689 reviews),Used,"$26,999.00"
2020 Toyota RAV4 LE,"73,117 mi.",4.7,"(1,022 reviews)",Toyota Certified,"$29,998.00"
2012 Land Rover Range Rover Supercharged,"18,453 mi.",4.5,(965 reviews),Used,"$24,995.00"
2019 Lexus RX 350 Base,"84,555 mi.",4.6,"(2,052 reviews)",Used,"$42,691.00"
2019 Land Rover Range Rover 3.0L V6 Supercharged HSE,"19,564 mi.",4.6,(33 reviews),Used,"$81,338.00"
2020 Volvo V60 T5 Momentum,"35,458 mi.",4.7,"(1,680 reviews)",Volvo Certified,"$48,968.00"
2021 Mercedes-Benz AMG GLE 53 AMG GLE 53,"20,750 mi.",4.7,(727 reviews),Mercedes-Benz Certified,"$96,900.00"
2019 INFINITI QX60 Luxe,"15,734 mi.",3.2,(16 reviews),Used,"$34,998.00"
2020 Mercedes-Benz GLA 250 Base 4MATIC,"37,215 mi.",4.0,(59 reviews),Mercedes-Benz Certified,"$31,939.00"
2019 Chevrolet Suburban LT,"36,059 mi.",4.5,"(1,126 reviews)",Used,"$43,650.00"
2015 Hyundai Sonata SE,"87,760 mi.",4.3,(687 reviews),Used,"$9,995.00"
2019 GMC Acadia SLE-2,"143,805 mi.",4.9,"(3,066 reviews)",Used,"$27,495.00"
2021 Subaru Outback Limited,"86,300 mi.",4.5,(259 reviews),Used,"$33,498.00"
2021 Mercedes-Benz C-Class C 300 4MATIC,"19,488 mi.",4.7,(263 reviews),Mercedes-Benz Certified,"$42,993.00"
2019 Honda Pilot EX-L,"10,757 mi.",4.8,"(1,131 reviews)",Honda Certified,"$36,999.00"
2019 Honda CR-V EX-L,"48,853 mi.",4.3,(40 reviews),Used,"$33,995.00"
2019 Acura MDX 3.5L w/Technology Package,Mileage,4.8,"(1,664 reviews)",Used,"$38,991.00"
2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,"42,000 mi.",4.7,(55 reviews),Used,"$62,500.00"
2019 Ford Expedition Limited,"49,850 mi.",4.9,"(4,719 reviews)",Used,"$48,927.00"
2018 Chevrolet Silverado 1500 LT,"64,044 mi.",3.6,(31 reviews),Used,"$41,460.00"
2017 Land Rover Range Rover Evoque SE Premium,"33,416 mi.",4.5,(749 reviews),Used,"$32,312.00"
2018 Volkswagen Tiguan 2.0T SE,"34,814 mi.",5.0,(2 reviews),Used,"$23,903.00"
2021 Nissan Altima 2.5 SR,"44,630 mi.",5.0,(2 reviews),Used,"$22,200.00"
2020 Hyundai Tucson Limited,"30,002 mi.",5.0,(3 reviews),Used,"$32,995.00"
2020 Land Rover Range Rover P525 HSE,"19,411 mi.",4.6,(541 reviews),Used,"$106,000.00"
2021 Volkswagen Atlas 3.6 V6 SEL Premium,"10,611 mi.",4.8,(935 reviews),Volkswagen Certified,"$52,999.00"
2020 Honda Civic LX,"20,298 mi.",4.9,"(1,982 reviews)",Used,"$24,900.00"
2016 Ford F-150 XLT,"20,558 mi.",4.7,(288 reviews),Used,"$29,500.00"
2017 Land Rover Range Rover Evoque HSE,"105,740 mi.",4.3,(3 reviews),Used,"$35,998.00"
2021 GMC Yukon XL Denali,"45,628 mi.",4.0,(48 reviews),Used,"$89,991.00"
2019 Mercedes-Benz CLA 250 Base,"11,545 mi.",4.0,(84 reviews),Used,"$31,999.00"
2018 Lexus GX 460 Base,"31,830 mi.",4.8,"(1,195 reviews)",Used,"$44,899.00"
2019 Kia Sorento LX,"50,786 mi.",3.6,(872 reviews),Used,"$24,972.00"
2018 Dodge Durango Citadel,"69,193 mi.",4.5,(765 reviews),Used,"$32,599.00"
2019 BMW 330 i,"77,316 mi.",4.7,(846 reviews),BMW Certified,"$32,981.00"
2020 Ford Expedition Max Limited,"49,675 mi.",4.9,"(2,762 reviews)",Used,"$44,990.00"
2020 Ford Expedition Max Limited,"60,541 mi.",4.9,"(2,762 reviews)",Used,"$43,990.00"
2021 Tesla Model 3 Standard Range Plus,"62,830 mi.",4.6,(110 reviews),Used,"$54,600.00"
2021 Mercedes-Benz GLC 300 Base,"11,733 mi.",4.5,(615 reviews),Used,"$44,470.00"
2021 BMW X3 xDrive30i,"12,500 mi.",4.5,(139 reviews),BMW Certified,"$46,185.00"
2019 Jeep Grand Cherokee Limited,"19,552 mi.",4.6,(434 reviews),Used,"$36,995.00"
2018 Tesla Model S 75D,"31,030 mi.",4.7,"(1,712 reviews)",Used,"$65,000.00"
2019 Buick Envision Essence,"19,492 mi.",4.8,(542 reviews),Buick Certified,"$28,688.00"
2019 Nissan Rogue SV,"44,928 mi.",4.6,(213 reviews),Used,"$27,229.00"
2019 Genesis G80 3.8,"19,739 mi.",4.4,(921 reviews),Used,"$31,900.00"
2019 Land Rover Range Rover Sport 3.0L Supercharged HSE,"22,484 mi.",4.6,(33 reviews),Used,"$69,250.00"
2018 Toyota RAV4 LE,"19,101 mi.",4.8,"(1,210 reviews)",Toyota Certified,"$25,983.00"
2021 BMW X7 xDrive40i,"40,254 mi.",4.3,"(1,235 reviews)",Used,"$77,188.00"
2019 Subaru Ascent Limited 8-Passenger,"22,763 mi.",5.0,(1 review),Used,"$33,998.00"
2015 Mercedes-Benz E-Class E 350 4MATIC,"47,643 mi.",5.0,(5 reviews),Used,"$26,999.00"
2019 Ford Edge SEL,"38,679 mi.",4.7,(18 reviews),Used,"$30,599.00"
